ampl.tab 2 12
load_zone	plant_code	size_mw	fuel	heat_rate	start_year	max_age	overnight_cost	fixed_o_m	variable_o_m	forced_outage_rate	scheduled_outage_rate	baseload	cogen
San_Diego	55542-GT	99.8	Gas	9866.77366692103	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	cogen-CC-NG	176.2	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.339032321873194	1	1
San_Diego	cogen-GT-NG	37.78	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.238658872680368	1	1
San_Diego	cogen-IC-NG	9.325	Gas	4265	2007	30	750	30	1	0.05	0.516616617749891	1	1
San_Francisco	273-ST	206	Gas	10495.819765504	1965	45	1000	25	1	0.01	0	0	0
San_Francisco	cogen-CC-NG	29	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.191037714185666	1	1
San_Francisco	cogen-IC-NG	1.3988468316911	Gas	4265	2007	30	750	30	1	0.05	0	1	1
Southwest	120-GT	96	Gas	11651.3071992838	1978	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Southwest	2324-ST	152.55	Coal	11001.7212865554	1983	45	1290	25.91	4.32	0.01	0.0682478378556809	1	0
Southwest	2341-ST	1042.8	Coal	9467.00919059846	1971	45	1290	25.91	4.32	0.01	0.268689437581409	1	0
Southwest	2442-ST	720	Coal	10184.1146737303	1970	45	1290	25.91	4.32	0.01	0.194943957040138	1	0
Southwest	2451-ST	257.88964	Coal	10829.3671195453	1982	45	1290	25.91	4.32	0.01	0.158648077413386	1	0
Southwest	4941-ST	477	Coal	10176.0747097365	1976	45	1290	25.91	4.32	0.01	0.113555869877534	1	0
Southwest	6008-ST	1061.3152	Nuclear	10435.9693243056	1988	45	2000	1	6.3	0.01	0.13086369682904	1	0
Southwest	6481-ST	1348.974	Coal	9582.59502765378	1987	45	1290	25.91	4.32	0.01	0.114170134458059	1	0
ZP26	259-ST	999	Gas	10084.4876763817	1963	45	1000	25	1	0.01	0	0	0
ZP26	55151-CC	986.45	Gas	7325.98982973944	2003	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
ZP26	55182-CC	559.5	Gas	7356.93673153805	2003	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
ZP26	55400-CC	537	Gas	6750.02024984881	2003	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
ZP26	55875-GT	39.9	Gas	11030.4821562486	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
ZP26	6099-ST	2240	Nuclear	10437.428125812	1986	45	2000	1	6.3	0.01	0.162304133693974	1	0
ZP26	cogen-CC-NG	30.35	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.0590783894735314	1	1
ZP26	cogen-GT-NG	1030.64	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.129027269173502	1	1
ZP26	cogen-ST-COL	52.15	Coal	4265	2007	45	967.5	25.91	4.32	0.01	0.25734648230128	1	1
