ampl.tab 3 3
load_zone	site	date	avg_flow	min_flow	max_flow
PG&E_North	Muck_V_10458	200402260	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	160402230	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	120402220	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	240404271	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	200404271	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	160404271	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	120404271	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	240404210	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	200404270	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	160404090	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	120404100	9.32884722222222	9.32884722222222	9.32884722222222
PG&E_North	Muck_V_10458	240406300	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	200406230	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	160406160	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	120406290	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	240406151	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	200406151	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	160406151	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	120406151	9.34991666666667	9.34991666666667	9.34991666666667
PG&E_North	Muck_V_10458	240408090	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	200408010	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	160408080	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	120408180	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	240408111	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	200408111	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	160408111	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	120408111	8.24313172043011	8.24313172043011	8.24313172043011
PG&E_North	Muck_V_10458	240410090	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	200410150	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	160410020	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	120410040	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	240410071	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	200410071	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	160410071	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	120410071	5.3325	5.3325	5.3325
PG&E_North	Muck_V_10458	240412100	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	200412070	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	160412080	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	120412160	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	240412061	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	200412061	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	160412061	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Muck_V_10458	120412061	5.96728494623656	5.96728494623656	5.96728494623656
PG&E_North	Nelson_50223	240402021	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	200402021	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	160402021	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	120402021	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	240402200	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	200402260	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	160402230	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	120402220	0.277974137931034	0.277974137931034	0.277974137931034
PG&E_North	Nelson_50223	240404271	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	200404271	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	160404271	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	120404271	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	240404210	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	200404270	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	160404090	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	120404100	0.368444444444444	0.368444444444444	0.368444444444444
PG&E_North	Nelson_50223	240406151	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	200406151	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	160406151	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	120406151	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	240406300	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	200406230	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	160406160	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	120406290	0.369277777777778	0.369277777777778	0.369277777777778
PG&E_North	Nelson_50223	240408111	0.325564516129032	0.325564516129032	0.325564516129032
PG&E_North	Nelson_50223	200408111	0.325564516129032	0.325564516129032	0.325564516129032
PG&E_North	Nelson_50223	160408111	0.325564516129032	0.325564516129032	0.325564516129032
PG&E_North	Nelson_50223	120408111	0.325564516129032	0.325564516129032	0.325564516129032
