ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2010174150	2020	200410150	480	10	17
2010194071	2020	200410071	16	10	19
2010194150	2020	200410150	480	10	19
2010214071	2020	200410071	16	10	21
2010214150	2020	200410150	480	10	21
2010234071	2020	200410071	16	10	23
2010234150	2020	200410150	480	10	23
2012014061	2020	200412061	16	12	1
2012014070	2020	200412070	480	12	1
2012034061	2020	200412061	16	12	3
2012034070	2020	200412070	480	12	3
2012054061	2020	200412061	16	12	5
2012054070	2020	200412070	480	12	5
2012074061	2020	200412061	16	12	7
2012074070	2020	200412070	480	12	7
2012094061	2020	200412061	16	12	9
2012094070	2020	200412070	480	12	9
2012114061	2020	200412061	16	12	11
2012114070	2020	200412070	480	12	11
2012134061	2020	200412061	16	12	13
2012134070	2020	200412070	480	12	13
2012154061	2020	200412061	16	12	15
2012154070	2020	200412070	480	12	15
2012174061	2020	200412061	16	12	17
2012174070	2020	200412070	480	12	17
2012194061	2020	200412061	16	12	19
2012194070	2020	200412070	480	12	19
2012214061	2020	200412061	16	12	21
2012214070	2020	200412070	480	12	21
2012234061	2020	200412061	16	12	23
2012234070	2020	200412070	480	12	23
2402014021	2024	240402021	16	2	1
2402014200	2024	240402200	436	2	1
2402034021	2024	240402021	16	2	3
2402034200	2024	240402200	436	2	3
2402054021	2024	240402021	16	2	5
2402054200	2024	240402200	436	2	5
2402074021	2024	240402021	16	2	7
2402074200	2024	240402200	436	2	7
2402094021	2024	240402021	16	2	9
2402094200	2024	240402200	436	2	9
2402114021	2024	240402021	16	2	11
2402114200	2024	240402200	436	2	11
2402134021	2024	240402021	16	2	13
2402134200	2024	240402200	436	2	13
2402154021	2024	240402021	16	2	15
2402154200	2024	240402200	436	2	15
2402174021	2024	240402021	16	2	17
2402174200	2024	240402200	436	2	17
2402194021	2024	240402021	16	2	19
2402194200	2024	240402200	436	2	19
2402214021	2024	240402021	16	2	21
2402214200	2024	240402200	436	2	21
2402234021	2024	240402021	16	2	23
2402234200	2024	240402200	436	2	23
2404014210	2024	240404210	464	4	1
2404014271	2024	240404271	16	4	1
2404034210	2024	240404210	464	4	3
2404034271	2024	240404271	16	4	3
2404054210	2024	240404210	464	4	5
2404054271	2024	240404271	16	4	5
2404074210	2024	240404210	464	4	7
2404074271	2024	240404271	16	4	7
2404094210	2024	240404210	464	4	9
2404094271	2024	240404271	16	4	9
2404114210	2024	240404210	464	4	11
2404114271	2024	240404271	16	4	11
2404134210	2024	240404210	464	4	13
2404134271	2024	240404271	16	4	13
2404154210	2024	240404210	464	4	15
2404154271	2024	240404271	16	4	15
2404174210	2024	240404210	464	4	17
2404174271	2024	240404271	16	4	17
2404194210	2024	240404210	464	4	19
2404194271	2024	240404271	16	4	19
2404214210	2024	240404210	464	4	21
2404214271	2024	240404271	16	4	21
2404234210	2024	240404210	464	4	23
2404234271	2024	240404271	16	4	23
2406014151	2024	240406151	16	6	1
2406014300	2024	240406300	464	6	1
2406034151	2024	240406151	16	6	3
2406034300	2024	240406300	464	6	3
2406054151	2024	240406151	16	6	5
2406054300	2024	240406300	464	6	5
2406074151	2024	240406151	16	6	7
2406074300	2024	240406300	464	6	7
2406094151	2024	240406151	16	6	9
2406094300	2024	240406300	464	6	9
2406114151	2024	240406151	16	6	11
2406114300	2024	240406300	464	6	11
2406134151	2024	240406151	16	6	13
2406134300	2024	240406300	464	6	13
2406154151	2024	240406151	16	6	15
2406154300	2024	240406300	464	6	15
2406174151	2024	240406151	16	6	17
2406174300	2024	240406300	464	6	17
2406194151	2024	240406151	16	6	19
2406194300	2024	240406300	464	6	19
2406214151	2024	240406151	16	6	21
2406214300	2024	240406300	464	6	21
2406234151	2024	240406151	16	6	23
2406234300	2024	240406300	464	6	23
2408014090	2024	240408090	480	8	1
2408014111	2024	240408111	16	8	1
2408034090	2024	240408090	480	8	3
2408034111	2024	240408111	16	8	3
2408054090	2024	240408090	480	8	5
2408054111	2024	240408111	16	8	5
2408074090	2024	240408090	480	8	7
2408074111	2024	240408111	16	8	7
2408094090	2024	240408090	480	8	9
2408094111	2024	240408111	16	8	9
2408114090	2024	240408090	480	8	11
2408114111	2024	240408111	16	8	11
2408134090	2024	240408090	480	8	13
2408134111	2024	240408111	16	8	13
2408154090	2024	240408090	480	8	15
2408154111	2024	240408111	16	8	15
2408174090	2024	240408090	480	8	17
2408174111	2024	240408111	16	8	17
2408194090	2024	240408090	480	8	19
2408194111	2024	240408111	16	8	19
2408214090	2024	240408090	480	8	21
2408214111	2024	240408111	16	8	21
2408234090	2024	240408090	480	8	23
2408234111	2024	240408111	16	8	23
2410014071	2024	240410071	16	10	1
2410014090	2024	240410090	480	10	1
2410034071	2024	240410071	16	10	3
2410034090	2024	240410090	480	10	3
2410054071	2024	240410071	16	10	5
2410054090	2024	240410090	480	10	5
2410074071	2024	240410071	16	10	7
2410074090	2024	240410090	480	10	7
2410094071	2024	240410071	16	10	9
2410094090	2024	240410090	480	10	9
2410114071	2024	240410071	16	10	11
2410114090	2024	240410090	480	10	11
2410134071	2024	240410071	16	10	13
2410134090	2024	240410090	480	10	13
2410154071	2024	240410071	16	10	15
2410154090	2024	240410090	480	10	15
2410174071	2024	240410071	16	10	17
2410174090	2024	240410090	480	10	17
2410194071	2024	240410071	16	10	19
2410194090	2024	240410090	480	10	19
2410214071	2024	240410071	16	10	21
2410214090	2024	240410090	480	10	21
2410234071	2024	240410071	16	10	23
2410234090	2024	240410090	480	10	23
2412014061	2024	240412061	16	12	1
2412014100	2024	240412100	480	12	1
2412034061	2024	240412061	16	12	3
2412034100	2024	240412100	480	12	3
2412054061	2024	240412061	16	12	5
2412054100	2024	240412100	480	12	5
2412074061	2024	240412061	16	12	7
2412074100	2024	240412100	480	12	7
2412094061	2024	240412061	16	12	9
2412094100	2024	240412100	480	12	9
2412114061	2024	240412061	16	12	11
2412114100	2024	240412100	480	12	11
2412134061	2024	240412061	16	12	13
2412134100	2024	240412100	480	12	13
2412154061	2024	240412061	16	12	15
2412154100	2024	240412100	480	12	15
2412174061	2024	240412061	16	12	17
2412174100	2024	240412100	480	12	17
2412194061	2024	240412061	16	12	19
2412194100	2024	240412100	480	12	19
2412214061	2024	240412061	16	12	21
2412214100	2024	240412100	480	12	21
2412234061	2024	240412061	16	12	23
2412234100	2024	240412100	480	12	23
